N,lambda,R,min_P2,rho_at_min,P2_negative,n_valid
2,0.02069138081114789,263.6650898730358,0.00032730462833322453,0.4977386934673367,False,200
2,0.02069138081114789,379.26901907322497,0.00032730462833322453,0.4977386934673367,False,200
2,0.02069138081114789,545.5594781168514,0.00032730462833322453,0.4977386934673367,False,200
2,0.02069138081114789,784.7599703514607,0.00032730462833322453,0.4977386934673367,False,200
2,0.02069138081114789,1128.8378916846884,0.00032730462833322453,0.4977386934673367,False,200
2,0.02069138081114789,1623.776739188721,0.00032730462833322453,0.4977386934673367,False,200
2,0.02069138081114789,2335.7214690901214,0.00032730462833322453,0.4977386934673367,False,200
2,0.02069138081114789,3359.818286283781,0.00032730462833322453,0.4977386934673367,False,200
2,0.02069138081114789,4832.930238571752,0.00032730462833322453,0.4977386934673367,False,200
2,0.02069138081114789,6951.927961775606,0.00032730462833322453,0.4977386934673367,False,200
2,0.02069138081114789,10000.0,0.00032730462833322453,0.4977386934673367,False,200
2,0.0379269019073225,10.0,0.00032730462833322453,0.4977386934673367,False,200
2,0.0379269019073225,14.38449888287663,0.00032730462833322453,0.4977386934673367,False,200
2,0.0379269019073225,20.6913808111479,0.00032730462833322453,0.4977386934673367,False,200
2,0.0379269019073225,29.76351441631318,0.00032730462833322453,0.4977386934673367,False,200
2,0.0379269019073225,42.81332398719393,0.00032730462833322453,0.4977386934673367,False,200
2,0.0379269019073225,61.58482110660264,0.00032730462833322453,0.4977386934673367,False,200
2,0.0379269019073225,88.58667904100822,0.00032730462833322453,0.4977386934673367,False,200
2,0.0379269019073225,127.42749857031335,0.00032730462833322453,0.4977386934673367,False,200
2,0.0379269019073225,183.29807108324357,0.00032730462833322453,0.4977386934673367,False,200
2,0.0379269019073225,263.6650898730358,0.00032730462833322453,0.4977386934673367,False,200
2,0.0379269019073225,379.26901907322497,0.00032730462833322453,0.4977386934673367,False,200
2,0.0379269019073225,545.5594781168514,0.00032730462833322453,0.4977386934673367,False,200
2,0.0379269019073225,784.7599703514607,0.00032730462833322453,0.4977386934673367,False,200
2,0.0379269019073225,1128.8378916846884,0.00032730462833322453,0.4977386934673367,False,200
2,0.0379269019073225,1623.776739188721,0.00032730462833322453,0.4977386934673367,False,200
2,0.0379269019073225,2335.7214690901214,0.00032730462833322453,0.4977386934673367,False,200
2,0.0379269019073225,3359.818286283781,0.00032730462833322453,0.4977386934673367,False,200
2,0.0379269019073225,4832.930238571752,0.00032730462833322453,0.4977386934673367,False,200
2,0.0379269019073225,6951.927961775606,0.00032730462833322453,0.4977386934673367,False,200
2,0.0379269019073225,10000.0,0.00032730462833322453,0.4977386934673367,False,200
2,0.06951927961775606,10.0,0.00032730462833322453,0.4977386934673367,False,200
2,0.06951927961775606,14.38449888287663,0.00032730462833322453,0.4977386934673367,False,200
2,0.06951927961775606,20.6913808111479,0.00032730462833322453,0.4977386934673367,False,200
2,0.06951927961775606,29.76351441631318,0.00032730462833322453,0.4977386934673367,False,200
2,0.06951927961775606,42.81332398719393,0.00032730462833322453,0.4977386934673367,False,200
2,0.06951927961775606,61.58482110660264,0.00032730462833322453,0.4977386934673367,False,200
2,0.06951927961775606,88.58667904100822,0.00032730462833322453,0.4977386934673367,False,200
2,0.06951927961775606,127.42749857031335,0.00032730462833322453,0.4977386934673367,False,200
2,0.06951927961775606,183.29807108324357,0.00032730462833322453,0.4977386934673367,False,200
2,0.06951927961775606,263.6650898730358,0.00032730462833322453,0.4977386934673367,False,200
2,0.06951927961775606,379.26901907322497,0.00032730462833322453,0.4977386934673367,False,200
2,0.06951927961775606,545.5594781168514,0.00032730462833322453,0.4977386934673367,False,200
2,0.06951927961775606,784.7599703514607,0.00032730462833322453,0.4977386934673367,False,200
2,0.06951927961775606,1128.8378916846884,0.00032730462833322453,0.4977386934673367,False,200
2,0.06951927961775606,1623.776739188721,0.00032730462833322453,0.4977386934673367,False,200
2,0.06951927961775606,2335.7214690901214,0.00032730462833322453,0.4977386934673367,False,200
2,0.06951927961775606,3359.818286283781,0.00032730462833322453,0.4977386934673367,False,200
2,0.06951927961775606,4832.930238571752,0.00032730462833322453,0.4977386934673367,False,200
2,0.06951927961775606,6951.927961775606,0.00032730462833322453,0.4977386934673367,False,200
2,0.06951927961775606,10000.0,0.00032730462833322453,0.4977386934673367,False,200
2,0.12742749857031335,10.0,0.00032730462833322453,0.4977386934673367,False,200
2,0.12742749857031335,14.38449888287663,0.00032730462833322453,0.4977386934673367,False,200
2,0.12742749857031335,20.6913808111479,0.00032730462833322453,0.4977386934673367,False,200
2,0.12742749857031335,29.76351441631318,0.00032730462833322453,0.4977386934673367,False,200
2,0.12742749857031335,42.81332398719393,0.00032730462833322453,0.4977386934673367,False,200
2,0.12742749857031335,61.58482110660264,0.00032730462833322453,0.4977386934673367,False,200
2,0.12742749857031335,88.58667904100822,0.00032730462833322453,0.4977386934673367,False,200
2,0.12742749857031335,127.42749857031335,0.00032730462833322453,0.4977386934673367,False,200
2,0.12742749857031335,183.29807108324357,0.00032730462833322453,0.4977386934673367,False,200
2,0.12742749857031335,263.6650898730358,0.00032730462833322453,0.4977386934673367,False,200
2,0.12742749857031335,379.26901907322497,0.00032730462833322453,0.4977386934673367,False,200
2,0.12742749857031335,545.5594781168514,0.00032730462833322453,0.4977386934673367,False,200
2,0.12742749857031335,784.7599703514607,0.00032730462833322453,0.4977386934673367,False,200
2,0.12742749857031335,1128.8378916846884,0.00032730462833322453,0.4977386934673367,False,200
2,0.12742749857031335,1623.776739188721,0.00032730462833322453,0.4977386934673367,False,200
